sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
275,1782079180.3633368,0.138686,1419,1.7322
276,1782079180.3634,0.138750,1417,1.7297
277,1782079180.3645773,0.139927,1417,1.7297
278,1782079180.3646636,0.140013,1418,1.7310
279,1782079180.3654656,0.140815,1413,1.7249
280,1782079180.3655376,0.140887,1417,1.7297
281,1782079180.3663208,0.141670,1419,1.7322
282,1782079180.3663847,0.141734,1423,1.7371
283,1782079180.3670485,0.142398,1424,1.7383
284,1782079180.3680444,0.143394,1428,1.7432
285,1782079180.3681211,0.143471,1429,1.7444
286,1782079180.369087,0.144437,1432,1.7480
287,1782079180.3714933,0.146843,1433,1.7493
288,1782079180.371535,0.146885,1436,1.7529
289,1782079180.3715572,0.146907,1435,1.7517
290,1782079180.3716037,0.146953,1436,1.7529
291,1782079180.3716288,0.146978,1437,1.7542
292,1782079180.3716698,0.147019,1440,1.7578
293,1782079180.371916,0.147266,1437,1.7542
294,1782079180.3736658,0.149015,1436,1.7529
295,1782079180.37374,0.149090,1438,1.7554
296,1782079180.373768,0.149118,1435,1.7517
297,1782079180.3739119,0.149261,1436,1.7529
298,1782079180.374934,0.150284,1436,1.7529
299,1782079180.3749883,0.150338,1435,1.7517
300,1782079180.3755455,0.150895,1434,1.7505
301,1782079180.3759978,0.151347,1426,1.7407
302,1782079180.376527,0.151877,1428,1.7432
303,1782079180.376951,0.152301,1424,1.7383
304,1782079180.3775184,0.152868,1428,1.7432
305,1782079180.377968,0.153318,1421,1.7346
306,1782079180.3784387,0.153788,1417,1.7297
307,1782079180.3789022,0.154252,1424,1.7383
308,1782079180.379492,0.154842,1416,1.7285
309,1782079180.3799796,0.155329,1417,1.7297
310,1782079180.3803961,0.155746,1412,1.7236
311,1782079180.3809187,0.156268,1412,1.7236
312,1782079180.381454,0.156804,1415,1.7273
313,1782079180.3818967,0.157246,1410,1.7212
314,1782079180.3824534,0.157803,1414,1.7261
315,1782079180.382886,0.158236,1408,1.7188
316,1782079180.3837047,0.159054,1412,1.7236
317,1782079180.383892,0.159242,1413,1.7249
318,1782079180.3844647,0.159814,1416,1.7285
319,1782079180.3849752,0.160325,1415,1.7273
320,1782079180.3936157,0.168965,1420,1.7334
321,1782079180.393694,0.169044,1419,1.7322
322,1782079180.3937426,0.169092,1423,1.7371
323,1782079180.3937702,0.169120,1428,1.7432
324,1782079180.3937962,0.169146,1422,1.7358
325,1782079180.3943074,0.169657,1430,1.7456
326,1782079180.3947237,0.170073,1433,1.7493
327,1782079180.394751,0.170101,1436,1.7529
328,1782079180.394774,0.170124,1431,1.7468
329,1782079180.395184,0.170534,1436,1.7529
330,1782079180.3952105,0.170560,1433,1.7493
